,open,close,high,low,volume,date
1212,23493.0,23424.7,23719.9,23201.0,470831.438,2023-02-03
1213,23424.7,23322.6,23591.4,23250.0,197118.393,2023-02-04
1214,23322.6,22929.2,23436.0,22741.0,356665.034,2023-02-05
1215,22929.3,22757.7,23159.4,22600.0,417160.143,2023-02-06
1216,22757.8,23234.1,23368.6,22742.4,447273.494,2023-02-07
1217,23234.1,22955.9,23450.0,22662.9,383465.481,2023-02-08
1218,22955.9,21793.4,23007.8,21684.7,732295.350,2023-02-09
1219,21793.3,21618.6,21933.8,21405.0,439986.497,2023-02-10
1220,21618.6,21851.3,21891.9,21594.4,189249.667,2023-02-11
1221,21851.2,21771.1,22080.9,21618.0,276787.093,2023-02-12
1222,21771.0,21766.2,21888.0,21338.0,511595.693,2023-02-13
1223,21766.1,22187.4,22320.0,21485.2,598791.509,2023-02-14
1224,22187.4,24332.6,24420.0,22038.5,824676.471,2023-02-15
1225,24332.7,23526.6,25290.0,23518.0,959463.159,2023-02-16
1226,23526.6,24581.5,25043.2,23350.0,922717.148,2023-02-17
1227,24581.3,24636.9,24887.5,24430.6,261555.556,2023-02-18
1228,24636.8,24265.9,25200.0,24179.4,543506.628,2023-02-19
1229,24265.9,24849.9,25140.0,23827.0,646401.072,2023-02-20
1230,24849.9,24443.4,25347.6,24150.0,729290.575,2023-02-21
1231,24443.3,24171.3,24468.5,23572.0,730414.101,2023-02-22
1232,24171.3,23928.8,24588.0,23590.0,751339.414,2023-02-23
1233,23928.7,23175.6,24138.6,22800.0,731577.942,2023-02-24
1234,23175.5,23146.2,23210.5,22700.0,310795.648,2023-02-25
1235,23146.2,23545.3,23675.0,23050.0,371395.056,2023-02-26
1236,23545.2,23480.0,23888.0,23088.0,576754.966,2023-02-27
1237,23480.0,23129.6,23592.8,23010.0,456919.838,2023-02-28
1238,23129.7,23619.8,24022.7,23008.4,617250.311,2023-03-01
1239,23619.8,23457.1,23790.5,23183.0,419256.601,2023-03-02
1240,23457.1,22342.8,23468.5,21883.2,608518.137,2023-03-03
1241,22342.8,22335.7,22400.0,22147.5,175309.211,2023-03-04
1242,22335.8,22419.4,22650.0,22174.9,282261.745,2023-03-05
1243,22419.3,22397.1,22594.5,22240.1,298976.397,2023-03-06
1244,22397.1,22187.1,22550.0,21908.0,548494.099,2023-03-07
1245,22187.1,21695.4,22276.4,21540.5,547867.967,2023-03-08
1246,21695.3,20348.3,21823.0,20003.5,951903.360,2023-03-09
1247,20348.4,20140.3,20351.8,19521.6,1238135.265,2023-03-10
1248,20140.3,20447.3,20674.5,19752.5,753479.558,2023-03-11
1249,20447.3,21986.2,22184.0,20262.2,881522.402,2023-03-12
1250,21986.2,24119.5,24517.2,21804.0,1534982.176,2023-03-13
1251,24119.5,24682.5,26489.9,23951.0,1572562.635,2023-03-14
1252,24682.5,24288.0,25200.0,23888.0,1102056.429,2023-03-15
1253,24287.9,24990.4,25167.9,24120.5,735446.946,2023-03-16
1254,24990.5,27384.0,27763.4,24875.3,1341159.064,2023-03-17
1255,27383.9,26907.0,27726.4,26555.5,740232.316,2023-03-18
1256,26907.0,27955.7,28397.0,26815.9,759367.078,2023-03-19
1257,27955.8,27704.1,28483.2,27120.6,937223.448,2023-03-20
1258,27704.1,28091.1,28460.0,27288.0,685487.714,2023-03-21
1259,28091.1,27233.8,28881.0,26590.0,1080393.270,2023-03-22
1260,27233.8,28284.1,28777.0,27101.0,808174.047,2023-03-23
1261,28284.0,27438.9,28369.1,26960.0,696075.370,2023-03-24
1262,27439.0,27447.3,27788.0,27131.8,335674.055,2023-03-25
1263,27447.2,27954.3,28186.9,27400.0,399756.985,2023-03-26
1264,27954.3,27112.0,28019.4,26480.0,642434.822,2023-03-27
1265,27112.0,27249.7,27500.0,26610.0,585080.772,2023-03-28
1266,27249.7,28338.5,28649.9,27223.6,655852.971,2023-03-29
1267,28338.6,28015.0,29184.8,27654.1,770966.100,2023-03-30
1268,28015.0,28454.9,28675.3,27500.0,611557.290,2023-03-31
1269,28454.8,28443.8,28845.3,28180.0,256487.222,2023-04-01
1270,28443.7,28161.2,28516.5,27820.0,316658.670,2023-04-02
1271,28161.3,27786.1,28540.0,27166.0,741665.563,2023-04-03
1272,27786.1,28155.2,28450.0,27650.2,432370.612,2023-04-04
1273,28155.1,28154.0,28800.0,27775.0,543712.838,2023-04-05
1274,28154.0,28022.8,28175.0,27684.2,355916.782,2023-04-06
1275,28022.9,27890.7,28096.0,27755.0,219250.178,2023-04-07
1276,27890.7,27924.9,28153.6,27850.1,159129.560,2023-04-08
1277,27924.9,28309.4,28539.1,27762.8,305861.880,2023-04-09
1278,28309.4,29623.1,29840.0,28153.6,580061.925,2023-04-10
1279,29623.1,30185.1,30564.0,29573.9,628978.491,2023-04-11
1280,30185.1,29875.0,30480.0,29620.0,563668.430,2023-04-12
1281,29874.9,30362.7,30648.9,29836.7,436182.494,2023-04-13
1282,30362.7,30453.1,31059.0,29925.0,615391.615,2023-04-14
1283,30453.0,30280.4,30599.9,30186.0,180234.082,2023-04-15
1284,30280.4,30286.6,30560.0,30102.0,210226.019,2023-04-16
1285,30286.6,29420.0,30307.4,29219.9,455518.548,2023-04-17
1286,29420.1,30365.8,30480.0,29078.1,533189.270,2023-04-18
1287,30365.8,28795.1,30410.0,28557.3,643866.110,2023-04-19
1288,28795.0,28229.9,29078.0,27983.0,639179.286,2023-04-20
1289,28229.9,27252.5,28368.9,27100.0,687832.833,2023-04-21
1290,27252.6,27807.2,27888.0,27126.0,345549.021,2023-04-22
1291,27807.2,27576.0,27807.3,27279.7,332082.355,2023-04-23
1292,27575.9,27497.5,28000.0,26919.3,581268.268,2023-04-24
