,close,high,low,volume,date,ticker
2058,115.94,116.27,114.77,9943800,2001-03-26,SPY
2059,118.31,118.65,115.28,12880700,2001-03-27,SPY
2060,115.04,116.95,114.9,10953300,2001-03-28,SPY
2061,115.48,116.5,112.14,12060300,2001-03-29,SPY
2062,116.69,116.69,114.5,9183600,2001-03-30,SPY
2063,114.2,117.38,113.8,10561000,2001-04-02,SPY
2064,110.39,114.15,110.06,12836000,2001-04-03,SPY
2065,110.85,112.1,109.3,14884300,2001-04-04,SPY
2066,115.05,115.49,112.5,21522800,2001-04-05,SPY
2067,113.3,114.4,112.06,14937800,2001-04-06,SPY
2068,114.56,114.99,112.78,9034300,2001-04-09,SPY
2069,116.65,117.75,115.17,17873600,2001-04-10,SPY
2070,116.73,118.99,116.14,12722300,2001-04-11,SPY
2071,118.85,118.94,115.96,9233200,2001-04-12,SPY
2072,117.6,118.89,116.91,7350000,2001-04-16,SPY
2073,119.26,119.66,117.02,10924700,2001-04-17,SPY
2074,124.0,126.0,120.69,32481600,2001-04-18,SPY
2075,125.65,125.84,123.58,13809900,2001-04-19,SPY
2076,124.5,125.4,123.66,7626700,2001-04-20,SPY
2077,122.24,123.89,121.91,8451800,2001-04-23,SPY
2078,121.58,123.65,121.1,10044700,2001-04-24,SPY
2079,123.17,123.67,120.95,8249000,2001-04-25,SPY
2080,123.72,125.22,123.5,10590400,2001-04-26,SPY
2081,125.78,125.84,124.2,7938700,2001-04-27,SPY
2082,126.66,127.27,124.67,10766900,2001-04-30,SPY
2083,127.05,127.15,124.6,10578000,2001-05-01,SPY
2084,126.82,127.69,126.0,9572900,2001-05-02,SPY
2085,125.21,126.15,124.22,9926200,2001-05-03,SPY
2086,127.34,127.35,123.44,12145300,2001-05-04,SPY
2087,126.24,127.38,126.23,7185200,2001-05-07,SPY
2088,126.18,127.1,125.56,6952600,2001-05-08,SPY
2089,125.65,126.55,125.06,9507400,2001-05-09,SPY
2090,126.02,127.5,125.77,6872400,2001-05-10,SPY
2091,125.15,126.49,124.4,7734400,2001-05-11,SPY
2092,125.4,125.44,124.46,7914000,2001-05-14,SPY
2093,125.98,126.5,124.85,9782200,2001-05-15,SPY
2094,128.95,129.2,124.62,14909000,2001-05-16,SPY
2095,129.15,130.08,128.56,11824600,2001-05-17,SPY
2096,129.74,129.74,128.1,6683100,2001-05-18,SPY
2097,131.65,131.84,129.15,11531500,2001-05-21,SPY
2098,131.48,132.09,131.07,8342700,2001-05-22,SPY
2099,129.25,131.05,129.25,12330800,2001-05-23,SPY
2100,129.63,130.0,128.55,7902800,2001-05-24,SPY
2101,128.1,129.7,127.9,7425000,2001-05-25,SPY
2102,127.08,128.35,126.9,9003900,2001-05-29,SPY
2103,125.3,127.09,125.0,10041800,2001-05-30,SPY
2104,125.95,126.76,125.26,9874200,2001-05-31,SPY
2105,126.73,127.1,125.12,8848300,2001-06-01,SPY
2106,127.34,127.43,126.08,5623500,2001-06-04,SPY
2107,128.8,129.23,127.27,9115400,2001-06-05,SPY
2108,127.73,128.83,127.36,12064900,2001-06-06,SPY
2109,128.19,128.35,127.0,7355300,2001-06-07,SPY
2110,127.0,127.87,126.14,8170600,2001-06-08,SPY
2111,126.1,126.99,125.41,7012200,2001-06-11,SPY
2112,125.88,126.74,124.04,9364400,2001-06-12,SPY
2113,124.8,126.58,124.65,7629400,2001-06-13,SPY
2114,122.0,124.3,121.75,12603000,2001-06-14,SPY
2115,121.85,122.4,120.4,16821100,2001-06-15,SPY
2116,121.26,122.44,120.91,11368300,2001-06-18,SPY
2117,121.79,122.89,120.89,7732300,2001-06-19,SPY
2118,122.43,122.86,121.1,8787200,2001-06-20,SPY
2119,123.82,124.31,122.15,12259100,2001-06-21,SPY
2120,122.85,123.59,122.16,12212000,2001-06-22,SPY
2121,121.72,123.44,121.5,8406800,2001-06-25,SPY
2122,121.55,122.39,120.57,8005800,2001-06-26,SPY
2123,121.48,122.24,120.91,10105100,2001-06-27,SPY
2124,122.15,123.94,121.93,10269300,2001-06-28,SPY
2125,122.6,124.01,122.26,9824200,2001-06-29,SPY
2126,124.13,124.32,122.62,8522200,2001-07-02,SPY
2127,124.1,124.1,123.05,3303100,2001-07-03,SPY
2128,121.68,123.65,121.66,5517900,2001-07-05,SPY
2129,119.05,121.49,119.05,11665900,2001-07-06,SPY
2130,119.7,120.54,119.2,8339300,2001-07-09,SPY
2131,118.26,120.64,118.21,8630700,2001-07-10,SPY
2132,118.38,118.89,117.09,15328600,2001-07-11,SPY
2133,121.19,121.47,119.31,12002800,2001-07-12,SPY
2134,122.24,122.32,120.62,10433800,2001-07-13,SPY
2135,120.71,122.28,120.29,6915300,2001-07-16,SPY
2136,121.84,121.95,119.83,7469800,2001-07-17,SPY
2137,121.01,121.64,120.06,7709300,2001-07-18,SPY
2138,122.07,122.98,120.76,10082900,2001-07-19,SPY
2139,121.34,121.94,120.92,6705800,2001-07-20,SPY
2140,118.95,121.88,118.95,8065200,2001-07-23,SPY
2141,117.8,119.2,116.75,12269000,2001-07-24,SPY
2142,119.1,119.48,117.46,12088500,2001-07-25,SPY
2143,120.35,120.85,118.56,12898200,2001-07-26,SPY
2144,120.81,121.35,119.91,8478800,2001-07-27,SPY
2145,120.85,121.35,120.3,8547700,2001-07-30,SPY
2146,121.35,122.68,120.8,11918100,2001-07-31,SPY
2147,122.11,122.7,121.55,11940800,2001-08-01,SPY
2148,122.61,123.25,121.89,11070100,2001-08-02,SPY
2149,121.94,122.36,120.9,10816300,2001-08-03,SPY
2150,120.3,121.51,120.1,8550100,2001-08-06,SPY
2151,120.77,121.2,119.91,8865100,2001-08-07,SPY
2152,118.53,121.16,118.43,15183800,2001-08-08,SPY
2153,118.88,118.97,117.86,14118500,2001-08-09,SPY
2154,119.29,119.84,117.34,11173300,2001-08-10,SPY
2155,119.32,119.85,118.81,7431600,2001-08-13,SPY
2156,119.27,120.35,118.8,13178100,2001-08-14,SPY
2157,118.24,119.61,118.08,8520600,2001-08-15,SPY
2158,118.65,118.75,117.0,10734700,2001-08-16,SPY
2159,116.75,117.87,116.01,11604600,2001-08-17,SPY
2160,117.83,117.9,116.55,10417400,2001-08-20,SPY
2161,115.82,118.54,115.8,14480800,2001-08-21,SPY
2162,117.02,117.43,115.78,11752300,2001-08-22,SPY
2163,116.6,117.52,116.49,8744100,2001-08-23,SPY
2164,119.02,119.13,116.74,11687700,2001-08-24,SPY
2165,118.31,119.2,118.26,7425100,2001-08-27,SPY
2166,116.58,118.49,116.58,12046600,2001-08-28,SPY
2167,115.54,117.18,115.17,16180000,2001-08-29,SPY
2168,113.32,115.74,112.04,17692600,2001-08-30,SPY
2169,114.15,114.77,113.13,15985400,2001-08-31,SPY
2170,113.42,116.17,113.37,24473400,2001-09-04,SPY
2171,113.7,114.19,111.95,21477100,2001-09-05,SPY
2172,110.77,113.3,110.77,21653000,2001-09-06,SPY
2173,108.72,111.25,108.63,33133900,2001-09-07,SPY
2174,110.05,110.35,107.7,23408700,2001-09-10,SPY
2175,104.3,106.4,100.0,32388700,2001-09-17,SPY
2176,104.05,105.3,103.36,22029200,2001-09-18,SPY
2177,101.95,104.5,98.56,42771800,2001-09-19,SPY
